Daniel Wass	Danes	31-05-1989	181	33	Brøndby I. F.	Defensa	00	00	
Joakim Mæhle Pedersen	Danes	20-04-1997	186	25	Atalanta B. C.	Defensa	00	00	
Joachim Andersen	Danes	31-05-1996	192	26	Crystal Palace F. C.	Defensa	00	00	
Rasmus Nissen Kristensen	Danes	11-06-1997	186	25	Leeds United F. C.	Defensa	00	00	
Victor Nelsson	Danes	14-10-1998	187	24	Galatasaray S. K.	Defensa	00	00	
Alexander Bah	Danes	09-12-1997	180	24	S. L. Benfica	Defensa	00	00	
Christian Dannemann Eriksen	Danes	14-02-1992	182	30	Manchester United F. C.	Volante	00	00	
Thomas Joseph Delaney Hansen	Danes	03-09-1991	180	31	Sevilla F. C.	Volante	00	00	
Pierre-Emile Kordt Højbjerg	Danes	05-08-1995	185	27	Tottenham Hotspur F. C.	Volante	00	00	
Mathias Jensen	Danes	01-01-1996	180	26	Brentford F. C.	Volante	00	00	
Christian Nørgaard	Danes	10-03-1994	187	28	Brentford F. C.	Volante	00	00	
Yussuf Yurary Poulsen	Danes	15-06-1994	193	28	R. B. Leipzig	Delantero	00	00	
Martin Christensen Braithwaite	Danes	05-06-1991	180	31	R. C. D. Espanyol	Delantero	00	00	
Andreas Evald Cornelius	Danes	16-03-1993	195	29	F. C. Copenhague	Delantero	00	00	
Kasper Dolberg Rasmussen	Danes	06-10-1997	187	25	Sevilla F. C.	Delantero	00	00	
Andreas Skov Olsen	Danes	29-12-1999	187	22	Club Brujas	Delantero	00	00	
Mikkel Krogh Damsgaard	Danes	03-07-2000	180	22	Brentford F. C.	Delantero	00	00	
Jonas Wind	Danes	07-02-1999	190	23	VfL Wolfsburgo	Delantero	00	00	
Robert Faxe Skov	Danes	20-05-1996	185	26	TSG 1899 Hoffenheim	Delantero	00	00	
Jesper Grænge Lindstrøm	Danes	29-02-2000	181	22	Eintracht Fráncfort	Delantero	00	00	
Wellington Moisés Ramírez Preciado	Ecuatoriano	09-09-2000	186	22	Independiente del Valle	Portero	00	00	
